t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
117	401	401	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	60	60	30	30	21	21	46	46	36	36	43	43	38	38	38	38	41	41	
118	406	406	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	52	52	23	23	32	32	44	44	26	26	42	42	52	52	48	48	35	35	
119	399	399	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	22	22	25	25	26	26	44	44	31	31	49	49	66	66	37	37	48	48	
120	451	451	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	44	44	33	33	44	44	35	35	30	30	54	54	56	56	57	57	47	47	
121	402	402	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	18	18	27	27	32	32	41	41	33	33	57	57	45	45	40	40	47	47	
122	390	390	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	25	25	32	32	32	32	48	48	43	43	44	44	42	42	35	35	41	41	
123	373	373	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	27	27	18	18	44	44	37	37	32	32	47	47	40	40	28	28	40	40	
124	419	419	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	29	29	26	26	42	42	33	33	31	31	55	55	55	55	43	43	45	45	
125	442	442	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	48	48	34	34	43	43	33	33	31	31	48	48	59	59	45	45	40	40	
126	409	409	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	41	41	37	37	30	30	58	58	27	27	51	51	38	38	49	49	36	36	
127	380	380	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	26	26	15	15	36	36	40	40	33	33	39	39	49	49	46	46	36	36	
